AudioMoth ES ID Number,Latitude,Longitude,Eclipse Type,Coverage Percent,FirstContactDate,FirstContactTimeUTC,SecondContactTimeUTC,ThirdContactTimeUTC,FourthContactTimeUTC,TotalEclipseTimeUTC,Notes,Successful,Needs split
168,30.17283,-95.53723,Partial,95.67,2024-04-08,17:20:22,0,0,20:01:21,18:40:30,No Files,NO,
169,30.0328,-99.0905,Total,100,2024-04-08,17:14:42,18:32:05,18:36:28,19:55:29,18:34:17,Deployed in February,NO,YES
170,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
171,30.45075,-99.79952778,Total,100,2024-04-08,17:14:31,18:32:15,18:35:23,19:54:51,18:33:49,Good deployment,YES,YES
172,29.860051,-98.4833,Total,100,2024-04-08,17:15:15,18:33:26,18:36:34,19:56:16,18:35:00,Good deployment,YES,NO
173,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
174,30.1007767,-98.8202804,Total,100,2024-04-08,17:15:13,18:32:43,18:36:58,19:56:02,18:34:51,Good deployment,YES,YES
175,29.21023,-99.77858,Total,100,2024-04-08,17:12:08,18:29:35,18:33:50,19:53:13,18:31:42,Good deployment,YES,YES
176,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
177,29.22198,-99.73889,Total,100,2024-04-08,17:12:12,18:29:41,18:33:55,19:53:18,18:31:48,Good deployment,YES,YES
178,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
179,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,Deployed in February,NO,YES
180,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
181,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
182,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
183,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
184,32.7223876,-95.5094739,Total,100,2024-04-08,17:25:00,18:42:37,18:46:32,20:04:33,18:44:34,No Files,NO,
185,28.617778,-97.672222,Partial,96.53,2024-04-08,17:14:09,0,0,19:55:49,18:34:14,No Files,NO,
186,41.022639,-82.927076,Total,100,2024-04-08,17:56:53,19:11:34,19:15:28,20:27:24,19:13:31,Good deployment,YES,YES
187,29.639182,-98.627463,Total,100,2024-04-08,17:14:37,18:32:59,18:35:46,19:55:43,18:34:23,No Files,NO,
188,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
189,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
190,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
191,29.6327,-100.4387,Total,100,2024-04-08,17:12:02,18:29:28,18:33:14,19:52:41,18:31:21,Failed on the 8th,NO,YES
192,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
193,29.524703,-95.800443,Partial,94.47,2024-04-08,17:18:47,0,0,20:00:03,18:38:59,Good deployment,YES,YES
194,33.82134,-95.46096,Total,100,2024-04-08,17:27:03,18:44:22,18:48:13,20:05:47,18:46:17,No Files,NO,
195,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
196,33.148493,-95.601458,Total,100,2024-04-08,17:25:38,18:42:53,18:47:14,20:04:52,18:45:04,1970s,NO,YES
197,27.957222,-97.124167,Partial,93.34,2024-04-08,17:13:48,0,0,19:55:41,18:34:01,Failed on the 8th,NO,YES
198,32.849779,-97.492761,Partial,99.99,2024-04-08,17:22:21,0,0,20:01:32,18:41:31,1970s,NO,YES
199,30.415845,-94.170422,Partial,93.08,2024-04-08,17:23:02,0,0,20:03:45,18:43:14,No Files,NO,
200,30.95447,-95.91512,Partial,98.59,2024-04-08,17:21:10,0,0,20:01:48,18:41:08,Good deployment,YES,YES
201,34.52847,-93.06775,Total,100,2024-04-08,17:31:52,18:49:19,18:53:02,20:10:06,18:51:11,Good deployment,YES,YES
202,32.7230553,-95.510417,Total,100,2024-04-08,17:25:00,18:42:37,18:46:32,20:04:33,18:44:34,1970s,NO,YES
203,30.31421,-97.72242,Total,100,2024-04-08,17:17:14,18:36:01,18:38:03,19:58:06,18:37:02,No Files,NO,
204,29.523398,-95.803043,Partial,94.47,2024-04-08,17:18:47,0,0,20:00:03,18:38:58,Good deployment,YES,YES
205,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
206,30.0328,-99.0905,Total,100,2024-04-08,17:14:42,18:32:05,18:36:28,19:55:29,18:34:17,1970s,NO,YES
207,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
208,31.84405,-100.9803,Partial,95.39,2024-04-08,17:15:44,0,0,19:54:33,18:34:14,Only 8th and 9th,NO,YES
209,44.5174,-74.30237,Total,100,2024-04-08,18:12:40,19:24:36,19:28:11,20:36:19,19:26:23,Good deployment,YES,YES
210,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
211,32.43488,-97.661457,Total,100,2024-04-08,17:21:20,18:39:15,18:41:55,20:00:48,18:40:35,Missing 6th,NO,YES
212,33.82151,-95.46128,Total,100,2024-04-08,17:27:03,18:44:22,18:48:13,20:05:47,18:46:17,No Files,NO,
213,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
214,41.84705,-80.974917,Total,100,2024-04-08,18:00:43,19:14:51,19:18:40,20:29:45,19:16:46,No Files,NO,
215,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
216,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
217,31.91251,-100.93769,Partial,95.31,2024-04-08,17:15:55,0,0,19:54:42,18:34:25,Only 8th and 9th,NO,YES
218,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
219,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
220,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
221,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
222,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
223,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
224,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
225,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
226,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
227,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
228,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
229,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
230,40.173,-83.086,Total,100,2024-04-08,17:55:37,19:11:40,19:13:39,20:26:56,19:12:40,Good deployment,YES,YES
231,41.1523219,-82.8789084,Total,100,2024-04-08,17:57:06,19:11:44,19:15:38,20:27:29,19:13:41,Failed on the 8th,NO,YES
232,34.53593,-93.02804,Total,100,2024-04-08,17:31:56,18:49:25,18:53:05,20:10:10,18:51:15,1970s,NO,YES
